date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:15:58	4843/4843	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:48%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=42	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear0cac.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:58	4884/4884	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:49%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=43	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear3dfa.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:58	4884/4884	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:49%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=44	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear44c0.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:58	4848/4848	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:49%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=45	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyearf58c.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:59	4887/4887	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:49%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=46	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear19de.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:59	4836/4836	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:50%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=47	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear03cd.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:59	4868/4868	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:50%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=48	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear8d1b.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:59	4864/4864	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:50%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=49	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear9709.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:16:00	4901/4901	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:50%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=50	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear3ff6.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:16:00	4869/4869	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:51%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=51	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear229a.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:16:00	4880/4880	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:51%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=52	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear9bc4.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:16:00	4888/4888	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:51%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=53	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear30af.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:16:01	4844/4844	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:51%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=54	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear11aa.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:16:01	4833/4833	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:52%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=55	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear62fe.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:16:01	4870/4870	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:52%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=56	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyearf959.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
